Date,price,open,high,low,change_pct
4/18/2021,56207.1,60043.2,60362.1,51817.6,-0.0639
4/17/2021,60041.9,61358.3,62509.1,59672.1,-0.0218
4/16/2021,61379.7,63211.6,63518.5,60027.3,-0.029
4/15/2021,63216,62978.6,63729.1,62067.5,0.0037
4/14/2021,62980.4,63544.2,64778,61366.3,-0.0088
4/13/2021,63540.9,59863.6,63659,59839.4,0.0614
4/12/2021,59863.8,59982.1,61259.9,59569.2,-0.0019
4/11/2021,59978.7,59772.4,60667.1,59250.3,0.0039
4/10/2021,59748.4,58127.4,61229,57900,0.028
4/9/2021,58118.7,58076.8,58890.9,57686,0.0007
4/8/2021,58077.4,55948,58136.7,55721.6,0.038
4/7/2021,55948.7,57996.3,58627.7,55489.3,-0.0353
4/6/2021,57996.3,59169,59487,57403.3,-0.0169
4/5/2021,58993.4,58202.3,59205.1,56842.7,0.0136
4/4/2021,58199.9,57059.7,58464.8,56470.6,0.02
4/3/2021,57059.9,58976.8,59770.5,56906.7,-0.0325
4/2/2021,58977.3,58718.2,60134.9,58466.5,0.0044
4/1/2021,58718.3,58763.2,59406.5,58040.7,-0.0008
3/31/2021,58763.7,58771.4,59795.6,56991.6,-0.0001
3/30/2021,58771.3,57614.6,59366.9,57077.1,0.02
3/29/2021,57616.2,55764.7,58392.6,54951.1,0.0332
3/28/2021,55765.2,55856.9,56504.2,54711.3,-0.0017
3/27/2021,55862.9,55033.8,56531.1,54010.2,0.015
3/26/2021,55036.1,51317.4,55074.1,51302,0.0724
3/25/2021,51322.3,52330,53175.4,50441.3,-0.0192
3/24/2021,52325.4,54309.1,57169.4,51725.4,-0.0391
3/23/2021,54452.5,54117.5,55813.8,52992.3,0.0054
3/22/2021,54158.3,57379.3,58379.9,53784.2,-0.0562
3/21/2021,57383.8,58097.4,58583.8,55583.3,-0.0122
3/20/2021,58093.4,58084.1,59882.1,57863,0.0001
3/19/2021,58088,57645,59448.3,56305.1,0.0075
3/18/2021,57656,58911.8,60088,57099.6,-0.0213
3/17/2021,58913.5,56892.9,58933.2,54253.2,0.0356
3/16/2021,56889.7,55619.5,56889.7,53342.6,0.0197
3/15/2021,55791.3,59117.4,60565.9,55088.8,-0.0562
3/14/2021,59113.7,61192.7,61673.7,59113.7,-0.034
3/13/2021,61195.3,57267.4,61795.8,56118.8,0.0686
3/12/2021,57265.1,57806.2,58052.3,55134.5,-0.0092
3/11/2021,57799.5,55851.2,58135,54351.8,0.0349
3/10/2021,55851.9,54882.7,57328.7,53073.6,0.0177
3/9/2021,54879,52352.4,54880.6,51941.3,0.0491
3/8/2021,52311,50988.9,52384.9,49338.1,0.0261
3/7/2021,50982.3,48899,51434.1,48890.6,0.0435
3/6/2021,48855.6,48798.7,49191.8,47132.8,0.0013
3/5/2021,48792.5,48363.6,49429.4,46370.1,0.0075
3/4/2021,48428,50388,51757.7,47521.8,-0.039
3/3/2021,50395.1,48422.2,52567.9,48159.2,0.0407
3/2/2021,48424.2,49595.6,50191.9,47100.6,-0.0236
3/1/2021,49595.5,45160.5,49774,45008.8,0.0981
2/28/2021,45164,46136,46582,43100.6,-0.0211
2/27/2021,46136.7,46333.1,48335.1,45059.4,-0.0045
2/26/2021,46345.6,46928.5,48413.9,44248.2,-0.0124
2/25/2021,46928.5,49695.9,52013.8,46773.7,-0.0557
2/24/2021,49697.5,48911.1,51311.8,47031.7,0.0161
2/23/2021,48911.2,54114.1,54115,45093.8,-0.0961
2/22/2021,54111.8,57437.6,57480.8,48353.8,-0.0578
2/21/2021,57433.8,55907.6,58335.1,55502.7,0.027
2/20/2021,55923.7,55922,57523.8,54124.1,0.0003
2/19/2021,55906.6,51590.1,56238.5,50816.8,0.0838
2/18/2021,51582.2,52094.5,52524,50941.6,-0.0095
2/17/2021,52079.2,49161.3,52577.7,49018.1,0.0592
2/16/2021,49169.7,47934.2,50515.8,47044.4,0.0257
2/15/2021,47936.3,48611.1,48936.5,45786.1,-0.0145
2/14/2021,48643.4,47172.1,49695.1,47051.9,0.0313
2/13/2021,47168.7,47373.1,48097.3,46270.5,-0.0043
2/12/2021,47371.7,47995,48927.4,46218.6,-0.0129
2/11/2021,47990.7,44834.8,48622.1,44041.1,0.0704
2/10/2021,44836,46507.8,47295.3,43800.5,-0.036
2/9/2021,46508.6,46396.4,48143.5,45104.7,0.0024
2/8/2021,46395.7,38853.6,46596.4,38057,0.1941
2/7/2021,38852.9,39228.9,39691.7,37381.6,-0.0103
2/6/2021,39256.6,38300.6,40939.7,38275.3,0.025
2/5/2021,38297.6,36976.4,38303.6,36640,0.0356
2/4/2021,36982.1,37648.9,38707.9,36380.8,-0.0177
2/3/2021,37646.8,35486.9,37646.8,35401.5,0.0609
2/2/2021,35485.2,33514,35976.1,33462.4,0.0588
2/1/2021,33515.7,33106.8,34685.6,32324.9,0.0123
1/31/2021,33108.1,34281.6,34348.3,32189.9,-0.0343
1/30/2021,34283.1,34300,34920.9,32908.5,-0.0005
1/29/2021,34301.8,33381.7,38546,31953.3,0.0278
1/28/2021,33374.8,30408.9,33790.8,29911.9,0.0977
1/27/2021,30404,32499.6,32545.4,29290.4,-0.0646
1/26/2021,32502.1,32244.1,32917.7,30850,0.0077
1/25/2021,32252.3,32244.3,34854.3,31967.4,0.0003
1/24/2021,32241.3,32088.5,33034.8,30982.9,0.0047
1/23/2021,32088.9,32994.1,33441.4,31418.2,-0.0276
1/22/2021,33000.5,30838.7,33821.2,28871.2,0.07
1/21/2021,30842.1,35472.3,35591.1,30101.8,-0.1306
1/20/2021,35476.3,35862.1,36384.4,33444.5,-0.0146
1/19/2021,36002.9,36630.6,37821,36001.4,-0.0167
1/18/2021,36613.2,35838.2,37436.8,34801,0.0216
1/17/2021,35839.6,36020.1,36801.3,33883.5,-0.005
1/16/2021,36019.5,36751.8,37931.7,35408.4,-0.0224
1/15/2021,36845.8,39175.7,39715,34488.7,-0.0595
1/14/2021,39175.7,37383.4,40054.3,36772.1,0.048
1/13/2021,37382.2,34061.2,37764.6,32451.9,0.097
1/12/2021,34076.1,35426,36598.7,32572.7,-0.0413
1/11/2021,35544.3,38195.3,38217.2,30411.6,-0.0693
1/10/2021,38192.2,40149.7,41362.4,35141.6,-0.0488
1/9/2021,40151.9,40607.2,41363.5,38775.1,-0.011
1/8/2021,40599.3,39466.4,41921.7,36613.4,0.0289
1/7/2021,39460.2,36798.5,40340.9,36361.2,0.0725
1/6/2021,36793.2,33999.3,36934.8,33408.3,0.0824
1/5/2021,33991.5,32015.4,34414.7,30010.5,0.0615
1/4/2021,32022.6,33016.6,33587.5,28204.5,-0.0284
1/3/2021,32958.9,32192.9,34755.9,32029.6,0.0238
1/2/2021,32193.3,29359.7,33233.5,29008,0.0965
1/1/2021,29359.9,28951.7,29627.1,28712.4,0.0142
12/31/2020,28949.4,28866.8,29298.8,28025,0.0028
12/30/2020,28868.7,27374.5,28979.3,27374.5,0.0545
12/29/2020,27376,27065.3,27390.7,25902.8,0.0118
12/28/2020,27057.8,26259.2,27444.9,26144.3,0.0303
12/27/2020,26261.3,26460.3,28360.3,25858.2,-0.0073
12/26/2020,26454.4,24714.7,26826,24515.1,0.0715
12/25/2020,24689.6,23728.7,24778.9,23445.3,0.0402
12/24/2020,23736.5,23253.2,23783.7,22737.3,0.0206
12/23/2020,23257.9,23820.8,24063.7,22694.7,-0.0237
12/22/2020,23823.2,22730.4,23825.4,22388.6,0.0482
12/21/2020,22728.5,23474.1,24101.9,22015.5,-0.0318
12/20/2020,23474.9,23843.6,24280.9,23098.9,-0.0155
12/19/2020,23844,23127.6,24107.1,22797,0.031
12/18/2020,23127.9,22823.3,23272.8,22361.5,0.0133
12/17/2020,22825.4,21352.3,23738,21243.1,0.069
12/16/2020,21352.2,19434.7,21525.3,19299.7,0.0987
12/15/2020,19434.9,19273.9,19556.3,19076.2,0.0084
12/14/2020,19273.8,19176.4,19346.5,19007,0.0051
12/13/2020,19176.8,18808.1,19403.6,18716.8,0.0196
12/12/2020,18808.9,18026.7,18936.2,18025.1,0.0436
12/11/2020,18023.6,18250.5,18288.3,17600.1,-0.0123
12/10/2020,18247.2,18546.1,18551.8,17926.8,-0.0161
12/9/2020,18546,18322.4,18637.9,17658.8,0.012
